num_ech;nom_ech
44N813706;Puceul Ouest
44N816501;Vigneux
44N817104;Trignac
44N824901;Vallet
44N884401;La Chapelle sur Erdre
44N884404;La Divatte
44N884407;Rezé
44N884408;Bouguenais
44N913702;Ragon
44N913703;Erette
44N913704;La Bosse des Landes
44N913705;Héric
44N913706;Bout de Bois
44N913707;Saffré
44N913708;Puceul
44N913709;Sainte Marie
44N913710;Nozay
44N913711;Nozay Nord
44N913712;Bellevue
44N913713;Le Mortier
44N913714;Derval Nord
44N913715;Mouais
44N916502;Tournebride
44N916502B;La Roche
44N916503;Les 4 Nations
44N916504;Le Temple
44N916505;Le Temple 2
44N916505A;La Croix Rouge
44N916505B;Kerlan
44N916505C;Le Lièvreau
44N916506;Malville
44N916506B;Le Point du jour
44N916507;La Moëre
44N916508;La Justice
44N916509;Le Tillon
44N916510;Les 4 Vents
44N916511;L'abbaye
44N916512;La Hirtais
44N916513;La Grivolais
44N916514;Beaulieu (Le Calvaire)
44N916515;Missillac
44N916516;Le Pigeon Vert
44N917101;Le Canyon
44N917102;La Sablière
44N917103;Prinquiau
44N917104;Les Six Croix
44N917105;Le Priory
44N917106;Les Noës
44N917107;Montoir
44N917108;Trignac
44N917109;Certé
44N924901;La Vallée Maraichère
44N924902;Les Epinettes
44N924903;Tournebride
44N924904;Vallet
44N944401;Marcel Paul
44N944402;La Rousselière
44N944403;La Barrière Noire
44N984430;Porte de l'Estuaire
44N984431;Porte de St Herblain
44N984432;Porte Atlantis
44N984433;Porte d'Armor
44N984434;Porte de Chézine
44N984435;Porte de Sautron
44N984436;Porte d'Orvault
44N984439;Porte de la Chapelle
44N984440;Porte de la Beaujoire
44N984441;Porte de Carquefou
44N984442;Porte de Ste Luce
44N984443;Porte d'Anjou
44N984444;Porte du Vignoble
44N984445;Porte de Goulaine
44N984446;Porte de St Sébastien
44N984447;Porte de Vertou
44N984448;Porte des Sorinières
44N984449;Porte de Rezé
44N984450;Porte de Retz
44N984451;Porte de Grand-Lieu
44N984452;Porte de Bouguenais
49A908701;Sortie autoroute A87 (ASF) ? ANGERS
49N924901;Tillières
49N924902;St Germain sur Moine
49N924903;St André de la marche
49N924904;La Bergerie
49N924905;La Séguinière
49N924906;Le Cormier
49N924907;Cholet
49N924908;A87
49N924909;La Tessoualle
53N801204;La Côte des Cheminées
53N901201;Mayenne
56N802401;Brocéliande Nord
56N802402;Brocéliande Sud
56N802405;La Colonne des Trente
56N802408;La Pointe
56N816501;Marzan
56N816504;Theix Nord
56N816507;Theix Sud
56N816510;Plougoumelen
56N816513;Saint-Goustan
56N816516;Boul Sapin
56N816519;Guidel Nord
56N816522;Guidel Sud
56N816601;Saint Nolff
56N816604;Landes de Lanvaux
56N816607;Maquis de la Nouette
56N902401;Guer
56N902402;Campénéac
56N902403;Ronsouze
56N902404;St Antoine
56N902405;Ploermel-Ouest
56N902406;Abbaye aux Oies
56N902407;La Belle Alouette
56N902408;Bellevue
56N902409;Mare St Julien
56N902410;Caradec
56N902411;La Pointe 56
56N902412;Maigris
56N902413;Point du Jour
56N902414;Le Bardeff
56N902415;Kérosette
56N902416;Kerabus
56N902417;Kersimon
56N902418;Kergillet
56N902419;Bonvallon
56N902420;Kermestre
56N902421;Guernéalain
56N902422;Languidic
56N902423;Kerblayo
56N902424;Castello
56N916501;Métairies
56N916502;Bel Air
56N916503;La Corne du Cerf
56N916504;Saint Isidore
56N916505;Muzillac-Ouest
56N916506;Ste Julitte
