P;;;;;;
Immatriculation;Code;Date MC;Code;Désignation;Cpt. actuel;Nom
BB-238-ET;CAA004IV05;10/01/2005;PSLPOOL;Pool Relais PS Laval;225428,00;IVECO DAILY 65C15 D 6,5T SC
BB-264-MJ;VLC091RE10;13/10/2010;PSLPOOL;Pool Relais PS Laval;175715,00;RENAULT CLIO III 1,5 DCI
BB-297-MJ;VLC092RE10;13/10/2010;DOM;Biens remis aux Domaines;221500,00;RENAULT CLIO III 1,5 DCI
BB-307-ET;CAD014RE94;07/06/1994;DOM;Biens remis aux Domaines;217626,00;RENAULT G 340 26T Benne
BB-373-ET;VUB007RE04;22/06/2004;DOM;Biens remis aux Domaines;262128,00;RENAULT TRAFIC L1H2 1,9 DCI-80
BB-449-ET;VLC030RE06;16/10/2006;DOM;Biens remis aux Domaines;242150,00;RENAULT CLIO 1,5 DCI
BB-575-ET;VUD008RE99;03/11/1999;DOM;Biens remis aux Domaines;191500,00;RENAULT MASTER L2H2 2,5D 6 places
BB-632-FF;CAD052RE10;07/10/2010;CEISTHE;CEI Saint Thégonnec;102640,00;RENAULT PREMIUM LANDER 380.26 6X 4 AMPLIROLL
BB-688-EA;VUD088RE10;06/10/2010;STRENN;Section Travaux Rennes;169170,00;RENAULT MASTER L3H2 2,5 DCI-120
BB-797-EA;VUB025RE10;06/10/2010;PARME;Pôle Admi Rés Maint Equip;337400,00;RENAULT TRAFIC L2H2
BB-812-ET;VLC001RE01;28/11/2001;DOM;Biens remis aux Domaines;222602,00;RENAULT CLIO 1,5 DCI
BB-877-ET;CAA002RE03;29/07/2003;PSLPOOL;Pool Relais PS Laval;289403,00;RENAULT MASCOTT 110 6T DC
BB-958-ES;CAD012RE09;16/03/2009;STLAVAL;Section Travaux Laval;148535,00;RENAULT KERAX 410 DXI 6/4 26T Benne
BC-150-ZL;VLC094RE10;10/11/2010;DOM;Biens remis aux Domaines;191042,00;RENAULT MODUS 1,5 DCI
BC-189-ZL;VLC095RE10;10/11/2010;DOM;Biens remis aux Domaines;218900,00;RENAULT MODUS 1,5 DCI
BC-221-ZL;VLC096RE10;10/11/2010;DOM;Biens remis aux Domaines;226311,00;RENAULT MODUS 1,5 DCI
BC-244-ZL;VLC097RE10;10/11/2010;PSNPOOL;Pool Relais PS Nantes;216227,00;RENAULT MODUS 1,5 DCI
BC-262-VM;CAD036RE07;27/06/2007;CEIPLES;CEI Pleslin Trigavou;279968,00;RENAULT PREMIUM 410 6X2 AMPLIROLL
BD-356-YS;CAD048RE10;30/11/2010;CEILORI;CEI Lorient;133177,00;RENAULT PREMIUM LANDER 380.26 6X 2 ROUES SIMPLE ESSIEU 3 AMPLIROLL + GRUE
BE-233-WE;CAC018RE09;09/04/2009;CEILORI;CEI Lorient;103661,00;RENAULT PREMIUM 320-19 BENNE AMO
BE-302-WE;VUD090RE10;16/12/2010;STLAVAL;Section Travaux Laval;135550,00;RENAULT MASTER L2H2 3,3T DCI-150
BE-323-WE;VLC106RE10;16/12/2010;PSNREF;Réforme PS Nantes;235100,00;RENAULT CLIO III 1,5 DCI
BE-352-WE;VLC107RE10;16/12/2010;PSRPOOL;Pool Relais PS Rennes;195970,00;RENAULT CLIO III 1,5 DCI
BF-102-FK;CAA018RE10;24/12/2010;DOM;Biens remis aux Domaines;112018,00;RENAULT MAXITY 45
BF-114-FK;VUE094RE10;24/12/2010;PSVPOOL;Pool Relais PS Vannes;195250,00;RENAULT MASTER III L3 H2 2,5 DCI 150 5 PL
BF-138-FK;VUE093RE10;24/12/2010;PSBPOOL;Pool Relais PS Brest;414372,00;RENAULT MASTER 2,3 DCI 150
BF-249-CQ;CAC076IV06;06/01/2006;PSBPOOL;Pool Relais PS Brest;442350,00;IVECO STRALIS
BF-630-KS;VLA046RE02;17/07/2002;DOM;Biens remis aux Domaines;0,00;RENAULT KANGOO AUTOMATIQUE 1.4 ESSENCE 5P
BG-065-MM;CAD013RE01;29/08/2001;TR3DS53;Transfert 3ds CD53;189807,00;RENAULT KERAX 340 6/4 26T Benne
BG-095-MM;VUD091RE11;20/01/2011;PSSTBRI;Point Service st Brieuc;110323,00;RENAULT MASTER L3H2
BG-417-ML;VUD003PE95;12/09/1995;DOM;Biens remis aux Domaines;200437,00;PEUGEOT BOXER D 6 places
BG-548-ML;CAC023RE89;31/08/1989;DOM;Biens remis aux Domaines;577775,00;RENAULT G 230 Plateau/Grue
BG-568-JS;VUE096RE11;18/01/2011;DOM;Biens remis aux Domaines;371431,00;RENAULT MASTER L3H3 2,5 DCI-150
BG-578-ML;VLB034RE00;24/08/2000;DOM;Biens remis aux Domaines;135228,00;RENAULT TWINGO AUTH. 1.2E
BG-596-JS;VUE095RE11;18/01/2011;CEIPLES;CEI Pleslin Trigavou;432598,00;RENAULT MASTER III L3H2 2,3 DCI-150
BG-610-ML;VLA035RE01;19/06/2001;DOM;Biens remis aux Domaines;259440,00;RENAULT KANGOO 1,9 D
BH-373-PB;VUA061RE99;01/12/1999;DOM;Biens remis aux Domaines;138523,00;RENAULT KANGOO 1,9 D
BH-476-PB;CAD026RE00;16/08/2000;PSNPOOL;Pool Relais PS Nantes;224443,00;RENAULT PREMIUM 300 6X2/4
BH-504-PB;CAB013RE03;11/12/2003;CEILOUD;CEI Loudéac;184578,00;RENAULT MIDLUM 150.10
BH-545-PB;VUE026FO06;08/11/2006;DOM;Biens remis aux Domaines;213109,00;FORD TRANSIT 2.2 TDCI
BH-650-PB;VUA033RE06;05/10/2006;DOM;Biens remis aux Domaines;203746,00;RENAULT KANGOO EXPRESS 1.5 DCI
BH-753-NE;VLC111RE11;09/02/2011;DIS56;District Vannes;289874,00;RENAULT MODUS 1,5 DCI
BK-026-KR;VUD044RE06;15/12/2006;DOM;Biens remis aux Domaines;320850,00;RENAULT MASTER L3H2 2,5 DCI-120
BK-029-GM;CAC054RE94;29/11/1994;DOM;Biens remis aux Domaines;0,00;RENAULT G 300
BK-036-GM;VUB022CI02;06/09/2002;DOM;Biens remis aux Domaines;333156,00;CITROEN JUMPY 2.0 HDI
BK-051-KR;VUD049RE06;05/12/2006;DOM;Biens remis aux Domaines;423470,00;RENAULT MASTER L1 H2 2,5 DCI-120
BK-085-KR;VUD017RE02;01/06/2002;DOM;Biens remis aux Domaines;240894,00;RENAULT MASTER L? H? 2,5 DCI-?
BK-098-GM;CAC055RE97;24/07/1997;DOM;Biens remis aux Domaines;0,00;RENAULT G 260
BK-107-AK;CAC069IV08;04/02/2008;STRENN;Section Travaux Rennes;132448,00;IVECO 190 EL3 SC
BK-114-GM;VLB008RE01;05/07/2001;DOM;Biens remis aux Domaines;0,00;RENAULT TWINGO AUTH. 1.2E
BK-116-KR;VUE015RE05;29/09/2005;DOM;Biens remis aux Domaines;0,00;RENAULT MASTER L3H2 2,5 DCI-120
BK-134-KR;VUD027RE03;09/12/2003;DOM;Biens remis aux Domaines;400300,00;RENAULT MASTER L3H2 2,5 DCI-120
BK-137-ZJ;VLB033RE01;06/11/2001;DOM;Biens remis aux Domaines;260505,00;RENAULT TWINGO AUTH. 1.2E
BK-138-GM;VUA031RE05;09/08/2005;DOM;Biens remis aux Domaines;282990,00;RENAULT KANGOO EXPRESS 1.5 DCI
BK-151-GM;VUE024FO06;08/11/2006;DOM;Biens remis aux Domaines;313300,00;FORD TRANSIT 2.2 TDCI
BK-154-KR;VUD028RE03;04/12/2003;DOM;Biens remis aux Domaines;360658,00;RENAULT MASTER L3H2 2,5 DCI-120
BK-160-GM;CAC057RE01;12/02/2001;PSRENNE;Point Service Rennes;164164,00;RENAULT PREMIUM 300
BK-165-KS;VLC041RE08;15/01/2008;PSNPOOL;Pool Relais PS Nantes;170594,00;RENAULT CLIO II ESS
BK-170-GM;CAB014RE05;06/07/2005;TR3DS49;Transfert 3DS CD49;197482,00;RENAULT S150  MIDLUM
BK-170-KR;VUD029RE03;01/06/2003;PSNPOOL;Pool Relais PS Nantes;324045,00;RENAULT MASTER L3H2 2,5 DCI-120
BK-191-KS;VLC105RE02;02/12/2002;DOM;Biens remis aux Domaines;216400,00;RENAULT CLIO 1,5 DCI
BK-198-KR;VUE037RE08;05/02/2008;DOM;Biens remis aux Domaines;90000,00;RENAULT MASTER L2H3 2,5 DCI-120
BK-206-GL;CAD028RE02;04/12/2002;STRENN;Section Travaux Rennes;284300,00;RENAULT KERAX 370  6X4
BK-216-KR;VUC006RE08;15/01/2008;PSNPOOL;Pool Relais PS Nantes;298315,00;RENAULT MASTER L2 BENNE DCI 150
BK-217-KS;CAC053RE94;13/10/1994;DOM;Biens remis aux Domaines;0,00;RENAULT G 270
BK-223-KS;VLC104RE02;02/12/2002;DOM;Biens remis aux Domaines;289000,00;RENAULT CLIO 1,5 DCI
BK-234-GM;VUA030RE05;09/08/2005;DOM;Biens remis aux Domaines;0,00;RENAULT KANGOO EXPRESS 1.5 DCI
BK-239-KR;VUD045RE07;06/12/2007;DOM;Biens remis aux Domaines;275239,00;RENAULT MASTER L2 H2 2,5 DCI-120
BK-249-KS;VLC112RE01;08/11/2001;DOM;Biens remis aux Domaines;160000,00;RENAULT CLIO 1,5 DCI
BK-255-GM;VUE025FO06;08/11/2006;DOM;Biens remis aux Domaines;307075,00;FORD TRANSIT 2.2 TDCI
BK-256-KS;VUF002IV04;04/10/2004;DOM;Biens remis aux Domaines;272890,00;IVECO DAILY.50C15
BK-261-KR;VUC016RE01;01/02/2001;DOM;Biens remis aux Domaines;334512,00;RENAULT MASTER
BK-268-GM;VUD066FO07;25/10/2007;DOM;Biens remis aux Domaines;209157,00;FORD TRANSIT 2,2 TDCI
BK-280-KS;VLB029RE08;03/04/2008;DOM;Biens remis aux Domaines;140500,00;RENAULT TWINGO D
BK-287-KR;VUD093RE99;19/11/1999;DOM;Biens remis aux Domaines;0,00;RENAULT MASTER ?
BK-314-KS;VLB030RE08;03/04/2008;DOM;Biens remis aux Domaines;205600,00;RENAULT TWINGO AUTH. 1.2E
BK-322-KR;VUB016RE08;03/03/2008;DOM;Biens remis aux Domaines;326900,00;RENAULT TRAFIC L1 H2
BK-331-KS;VUE089RE02;25/11/2002;DOM;Biens remis aux Domaines;354500,00;RENAULT MASTER L2H2
BK-332-KS;VLB027RE08;03/04/2008;DOM;Biens remis aux Domaines;247000,00;RENAULT TWINGO AUTH. 1.2E
BK-351-KR;VUB015RE08;03/03/2008;DOM;Biens remis aux Domaines;304543,00;RENAULT TRAFIC L1 H1
BK-356-KS;VLB028RE08;03/04/2008;DOM;Biens remis aux Domaines;148787,00;RENAULT TWINGO AUTH. 1.2E
BK-376-KR;CAB011RE02;01/06/2002;PSRPOOL;Pool Relais PS Rennes;8956,00;RENAULT MIDLUM 180.13
BK-381-KS;VLB013RE02;01/06/2002;DOM;Biens remis aux Domaines;122744,00;RENAULT TWINGO AUTH. 1.2E
BK-441-KR;VLD005PE07;12/12/2007;DOM;Biens remis aux Domaines;299510,00;PEUGEOT 308 1,6 HDI
BK-452-KS;VUE027FO06;09/11/2006;DOM;Biens remis aux Domaines;257422,00;FORD TRANSIT 2.2 TDCI
BK-472-KR;VLD006PE07;12/12/2007;DOM;Biens remis aux Domaines;305345,00;PEUGEOT 308 1,6 HDI
BK-501-KR;VLC048RE08;06/02/2008;DOM;Biens remis aux Domaines;261500,00;RENAULT CLIO II 1,5 DCI
BK-525-KR;VLC052RE08;06/02/2008;DOM;Biens remis aux Domaines;171300,00;RENAULT CLIO II 1,5 DCI
BK-549-KR;VLC047RE08;06/02/2008;DOM;Biens remis aux Domaines;275000,00;RENAULT CLIO II 1,5 DCI
BK-582-KR;VLC051RE08;06/03/2008;DOM;Biens remis aux Domaines;231845,00;RENAULT CLIO II 1,5 DCI
BK-613-KN;VLA020RE08;03/03/2008;DOM;Biens remis aux Domaines;93169,00;RENAULT KANGOO.1.5 DCI 5P
BK-621-KR;VLC049RE08;06/03/2008;DOM;Biens remis aux Domaines;147555,00;RENAULT CLIO II 1,5 DCI
BK-644-KR;VLC050RE08;06/02/2008;PSRENNE;Point Service Rennes;243813,00;RENAULT CLIO II 1,5 DCI
BK-653-KS;VUA064RE02;26/07/2002;DOM;Biens remis aux Domaines;241525,00;RENAULT KANGOO 1,9 DTI
BK-657-KN;VLA052RE02;01/02/2002;DOM;Biens remis aux Domaines;257238,00;RENAULT KANGOO 1,9 D
BK-671-KR;VLC042RE08;15/01/2008;DOM;Biens remis aux Domaines;127931,00;RENAULT CLIO II ESS
BK-672-KR;VLA013RE05;01/08/2005;DOM;Biens remis aux Domaines;290062,00;RENAULT KANGOO.1.5 DCI 5P
BK-688-KR;VLC043RE08;15/01/2008;PSRPOOL;Pool Relais PS Rennes;230000,00;RENAULT CLIO II ESS
BK-710-KR;VLC027RE05;12/07/2005;DOM;Biens remis aux Domaines;283350,00;RENAULT CLIO II 1,5 DCI
BK-742-KR;VUA017RE03;14/08/2003;DOM;Biens remis aux Domaines;102000,00;RENAULT KANGOO CONF.1.5 DCI
BK-761-KR;VUB013CI06;06/10/2006;DOM;Biens remis aux Domaines;238295,00;CITROEN JUMPY FG 2.0 HDI
BK-764-GL;VUD072FO07;16/10/2007;DOM;Biens remis aux Domaines;110043,00;FORD TRANSIT 2.2 TDCI 350LS
BK-785-VQ;VUE098RE11;23/03/2011;DOM;Biens remis aux Domaines;354776,00;RENAULT MASTER 2,3 DCI 150
BK-794-GL;CAC064RE00;25/07/2001;STRENN;Section Travaux Rennes;151112,00;RENAULT KERAX 300
BK-800-ZH;VUD039RE04;26/01/2004;DOM;Biens remis aux Domaines;358740,00;RENAULT MASTER L3H2 2,5 DCI-120
BK-814-KR;VLD001PE04;21/10/2004;DOM;Biens remis aux Domaines;126100,00;PEUGEOT 407 2,0 HDI EXECUTIVE
BK-816-ZH;VUE009RE04;14/01/2004;DOM;Biens remis aux Domaines;463624,00;RENAULT MASTER L3H2 2,5 DCI-120
BK-829-KQ;VLA001RE01;29/01/2001;DOM;Biens remis aux Domaines;149109,00;RENAULT KANGOO EXPRESS.1.5 DCI
BK-838-KR;VLC098RE05;29/12/2005;DOM;Biens remis aux Domaines;141900,00;RENAULT CLIO 1,5 DCI SOCIETE
BK-844-GL;CAD030RE03;23/09/2003;DOM;Biens remis aux Domaines;284556,00;RENAULT KERAX 370  6X4
BK-855-GL;CAB031RE98;10/08/1998;DOM;Biens remis aux Domaines;171150,00;RENAULT M150
BK-867-KR;VLA007RE02;04/07/2002;DOM;Biens remis aux Domaines;190000,00;RENAULT KANGOO.1.5 DCI 5P
BK-867-ZH;CAB012RE87;31/08/1987;DOM;Biens remis aux Domaines;300527,00;RENAULT  S130.09
BK-871-GL;CAA017RE00;10/08/2001;DOM;Biens remis aux Domaines;0,00;RENAULT MASCOTT 130 -55
BK-876-KQ;VLB018RE03;01/06/2003;DOM;Biens remis aux Domaines;195463,00;RENAULT TWINGO AUTH. 1.2E
BK-889-GL;CAD031RE05;24/11/2005;STRENN;Section Travaux Rennes;255715,00;RENAULT KERAX 370  6X4
BK-897-KR;VLC006RE02;02/09/2002;DOM;Biens remis aux Domaines;135600,00;RENAULT CLIO EXP. 1.4E .
BK-919-KQ;VLB019RE03;04/12/2003;DOM;Biens remis aux Domaines;263086,00;RENAULT TWINGO AUTH. 1.2E
BK-942-GL;VUD080RE08;17/11/2008;CEIRENN;CEI Rennes;236086,00;RENAULT MASTER L3H2 2,5 DCI-120
BK-952-KQ;VUD046RE07;01/06/2007;DOM;Biens remis aux Domaines;426421,00;RENAULT MASTER L? H? 2,5 DCI-120
BK-953-KR;CAB016RE07;02/07/2007;CEIRENN;CEI Rennes;220095,00;RENAULT MIDLUM 160.10
BK-962-ZH;VLA050RE00;10/11/2000;DOM;Biens remis aux Domaines;168592,00;RENAULT KANGOO 1.4 RTE
BK-963-GL;VUA034RE06;05/10/2006;DOM;Biens remis aux Domaines;218270,00;RENAULT KANGOO 1.5  DCI
BK-982-ZH;VUE091RE01;23/02/2001;DOM;Biens remis aux Domaines;354151,00;RENAULT MASTER L2H2 2,8 DCI-120
BK-994-KQ;VUD047RE07;01/06/2007;DOM;Biens remis aux Domaines;362705,00;RENAULT MASTER L? H? 2,5 DCI-120
BK-994-ZH;VLA049RE00;20/03/2000;DOM;Biens remis aux Domaines;264416,00;RENAULT KANGOO 1.4 RTE
BL-309-BG;VUA063RE07;25/10/2007;PSSTBRI;Point Service st Brieuc;168468,00;RENAULT KANGOO 1,5 DCI
BL-309-VP;CAL003RE11;11/04/2011;DOM;Biens remis aux Domaines;167260,00;RENAULT PREMIUM LANDER
BL-322-BG;VUD083RE07;09/11/2007;PSVPOOL;Pool Relais PS Vannes;90700,00;RENAULT MASTER L3H2 2,5 DCI-120
BL-339-BG;VLA010RE04;13/10/2004;DOM;Biens remis aux Domaines;299441,00;RENAULT KANGOO 1,5 DCI 5P
BL-349-BG;VUE010RE04;16/11/2004;DOM;Biens remis aux Domaines;482037,00;RENAULT MASTER L3H2 2,5 DCI-120
BL-370-BG;VUA035RE06;17/10/2006;DOM;Biens remis aux Domaines;222402,00;RENAULT KANGOO EXPRESS.1.5 DCI
BL-381-BG;VUA020RE04;13/10/2004;DOM;Biens remis aux Domaines;275738,00;RENAULT KANGOO 1.5  DCI
BL-399-BG;VUA065RE04;13/10/2004;DOM;Biens remis aux Domaines;142307,00;RENAULT KANGOO 1,5 DCI
BL-410-BF;CAD034IV91;22/01/1991;DOM;Biens remis aux Domaines;445377,00;IVECO 260.34
BL-416-BG;VUD082RE06;25/01/2006;PSSTBRI;Point Service st Brieuc;226276,00;RENAULT MASTER
BL-465-BF;CAB027RE97;04/12/1997;PSSBPOO;Pool Relais PS St Brieuc;304377,00;RENAULT M180
BL-483-BF;CAC015RE06;11/12/2006;CEITRAM;CEI Tramain;137092,00;RENAULT MIDLUM 280/18
BL-520-BF;CAC013RE04;17/02/2004;PSSBPOO;Pool Relais PS St Brieuc;116468,00;RENAULT KERAX 320/19
BL-538-BF;CAC014RE06;11/12/2006;CEIPLES;CEI Pleslin Trigavou;180921,00;RENAULT MIDLUM 280.18
BL-557-BF;CAB036RE06;08/09/2006;CEILOUD;CEI Loudéac;100671,00;RENAULT MIDLUM 180.13
BL-576-BF;CAB034RE06;28/04/2006;PSSBPOO;Pool Relais PS St Brieuc;176740,00;RENAULT MIDLUM 180.13
BL-609-BF;VUD024RE03;22/01/2003;DOM;Biens remis aux Domaines;453826,00;RENAULT MASTER L3H2 2,5 DCI-120
BL-621-BF;VUD038RE04;26/01/2004;DOM;Biens remis aux Domaines;255310,00;RENAULT MASTER L3H2 2,5 DCI-120
BL-636-BF;VUC014RE03;22/01/2003;DOM;Biens remis aux Domaines;277419,00;RENAULT MASTER L3H2 2,5 DCI-120
BL-652-BF;VUE092RE03;07/01/2003;DOM;Biens remis aux Domaines;443858,00;RENAULT MASTER L2H2 2,5 DCI-120
BL-687-BF;VUD089RE01;03/01/2001;DOM;Biens remis aux Domaines;0,00;RENAULT MASTER L2H2 285 DCI-120
BL-708-BF;CAC075RE84;16/11/1984;DOM;Biens remis aux Domaines;332923,00;RENAULT C210
BL-727-BF;CAB041ME94;13/04/1994;DOM;Biens remis aux Domaines;59247,00;MERCEDES-BENZ UNIMOG U140
BL-753-BF;VLA051RE01;19/11/2001;DOM;Biens remis aux Domaines;197536,00;RENAULT KANGOO 1,9 D
BL-771-BF;VUE006RE03;29/12/2003;DOM;Biens remis aux Domaines;329473,00;RENAULT MASTER L3H2 2,5 DCI-120
BL-787-BF;VLB040RE03;22/09/2003;DOM;Biens remis aux Domaines;138763,00;RENAULT TWINGO AUTH. 1.2E
BL-800-BF;VUA016RE03;07/08/2003;DOM;Biens remis aux Domaines;208599,00;RENAULT KANGOO 1.5  DCI
BL-916-BF;CAB037RE90;03/10/1990;DOM;Biens remis aux Domaines;179320,00;RENAULT S150
BL-929-BF;CAC070RE93;14/01/1993;DOM;Biens remis aux Domaines;365510,00;RENAULT G280.18
BL-934-PY;CAC088MA11;06/04/2011;CEISAVE;CEI Savenay;119459,00;MAN TGM 15-250  BENNE ET  GRUE
BL-957-TR;CAD038RE11;11/04/2011;CEITRAM;CEI Tramain;345626,00;Camion RENAULT PREMIUM LANDER 430.26 J6X2 occasion
BL-975-YW;VUE099RE11;13/04/2011;PSBPOOL;Pool Relais PS Brest;500610,00;RENAULT MASTER III 2,5  DCI 150
BN-050-ZZ;VUD075RE00;01/11/2000;DOM;Biens remis aux Domaines;266842,00;RENAULT MASTER L3H2 2,5 DCI-120
BN-076-ZZ;VUD077RE99;01/09/1999;DOM;Biens remis aux Domaines;0,00;RENAULT MASTER L? H?,2,5 DCI-?
BN-099-ZZ;VUD078RE03;01/07/2003;PSLPOOL;Pool Relais PS Laval;269257,00;RENAULT MASTER L3 H2-2,5 DCI-120
BN-126-ZZ;CAD033RE92;16/11/1992;DOM;Biens remis aux Domaines;236852,00;RENAULT G300
BN-184-ZY;VLB038RE03;31/03/2003;DOM;Biens remis aux Domaines;139186,00;RENAULT TWINGO AUTH. 1.2E
BN-240-ZZ;VLA048RE05;01/09/2005;DOM;Biens remis aux Domaines;270550,00;RENAULT KANGOO BREAK 1,5 DCI
BN-333-ZZ;VUA024RE04;04/11/2004;DOM;Biens remis aux Domaines;304036,00;RENAULT KANGOO 1.5  DCI
BN-363-ZZ;VUD079RE05;01/10/2005;TR3DS53;Transfert 3ds CD53;191672,00;RENAULT MASTER L3 H2,2,5 DCI-120CV
BN-465-ZZ;VLA047RE01;01/01/2001;DOM;Biens remis aux Domaines;211665,00;RENAULT KANGOO 1,9 D
BN-489-ZZ;CAB004RE01;02/02/2001;DOM;Biens remis aux Domaines;202200,00;RENAULT S135
BN-607-BC;VUF005RE02;06/06/2002;DOM;Biens remis aux Domaines;134611,00;RENAULT MASCOT 16PL
BN-689-XS;CAL005RE11;23/05/2011;CEIGOUL;CEI Goulaine;102067,00;RENAULT PREMIUM LANDER
BN-689-XS;CAD042RE11;23/05/2011;CEISTAU;CEI Saint Aubin du Cormier;379238,00;RENAULT PREMIUM 6*4 370 DXI BRAS AMOVIBLE DALBY 20 T
BN-888-ZY;CAC063RE01;25/10/2001;STLAVAL;Section Travaux Laval;115339,00;RENAULT KERAX 260
BN-916-ZY;VLB026RE05;01/09/2005;DOM;Biens remis aux Domaines;0,00;RENAULT TWINGO AUTH. 1.2E
BP-015-CP;CAL002RE11;26/05/2011;DOM;Biens remis aux Domaines;164346,00;RENAULT PREMIUM 26T
BP-015-CP;CAD041RE11;26/05/2011;CEISAVE;CEI Savenay;410180,00;RENAULT PREMIUM 370 DXI BRAS AMOVIBLE DALBY 20 T
BP-575-HQ;CAB050RE11;31/05/2011;CEIPLEU;CEI Pleumeleuc;224553,00;RENAULT MIDLUM 220.10 DXI
BQ-009-WX;VLA053RE99;10/08/1999;DOM;Biens remis aux Domaines;143293,00;RENAULT KANGOO ES/GPL
BQ-023-WX;VUD052RE99;18/10/1999;DOM;Biens remis aux Domaines;368925,00;RENAULT MASTER
BQ-030-WX;VLC003RE02;22/03/2002;DOM;Biens remis aux Domaines;0,00;RENAULT CLIO 1,5 dci
BQ-036-WX;VLC109RE01;13/11/2001;DOM;Biens remis aux Domaines;201242,00;RENAULT CLIO 1,5 DCI
BQ-041-WX;VLC008RE03;27/01/2003;DOM;Biens remis aux Domaines;210533,00;RENAULT CLIO dci 1,5
BQ-047-WX;VLC108RE01;29/10/2001;DOM;Biens remis aux Domaines;243508,00;RENAULT CLIO 1,5 DCI
BQ-055-WX;VLC110RE03;12/09/2003;DOM;Biens remis aux Domaines;189114,00;RENAULT CLIO 1,5 DCI
BQ-063-WX;CAC048RE95;24/10/1995;DOM;Biens remis aux Domaines;313646,00;RENAULT M210 GRUE
BQ-071-WX;CAC050RE02;26/06/2002;PSVPOOL;Pool Relais PS Vannes;177737,00;RENAULT PREMIUM GRUE
BQ-078-WX;CAC026RE94;20/12/1994;DOM;Biens remis aux Domaines;227566,00;RENAULT G230
BQ-085-WX;VUA054RE02;13/05/2002;DOM;Biens remis aux Domaines;113852,00;RENAULT KANGOO
BQ-087-YN;VLC090RE04;05/04/2004;DOM;Biens remis aux Domaines;192490,00;RENAULT CLIO 1,5 DCI
BQ-093-WX;VUB028CI02;03/01/2002;DOM;Biens remis aux Domaines;120165,00;CITROEN JUMPY
BQ-094-WX;VUD053RE01;12/02/2001;PSVREF;Réforme PS Vannes;429715,00;RENAULT MASTER
BQ-097-YN;VUD064CI97;10/07/1997;DOM;Biens remis aux Domaines;237600,00;CITROEN JUMPER
BQ-105-WX;VUE001RE01;11/04/2001;DOM;Biens remis aux Domaines;338352,00;RENAULT MASTER
BQ-115-YN;CAB024RE01;17/04/2001;STVANNE;Section Travaux de Vannes;8490,00;RENAULT MIDLUM
BQ-119-WX;VUA008RE02;13/05/2002;DOM;Biens remis aux Domaines;197439,00;RENAULT KANGOO 1,9D
BQ-131-YN;VUD055RE02;04/12/2002;DOM;Biens remis aux Domaines;230770,00;RENAULT MASTER
BQ-146-YN;VUA057RE02;13/05/2002;DOM;Biens remis aux Domaines;164230,00;RENAULT KANGOO 1,9 D
BQ-153-WX;CAB042RE91;23/01/1991;DOM;Biens remis aux Domaines;316890,00;RENAULT M140 GRUE
BQ-161-WX;VUD041RE04;12/08/2004;DOM;Biens remis aux Domaines;252195,00;RENAULT MASTER
BQ-169-WX;VUA037RE06;13/11/2006;DOM;Biens remis aux Domaines;261550,00;RENAULT KANGOO 1,5 DCI
BQ-177-WX;VUA036RE06;13/11/2006;DOM;Biens remis aux Domaines;221771,00;RENAULT KANGOO 1,5 DCI
BQ-182-YN;VUD051RE99;28/09/1999;DOM;Biens remis aux Domaines;148585,00;RENAULT MASTER
BQ-193-YN;VLA042RE08;28/04/2008;DOM;Biens remis aux Domaines;157005,00;RENAULT KANGOO
BQ-247-YN;CAD022RE03;12/09/2003;STLAVAL;Section Travaux Laval;269560,00;RENAULT PREMIUM 6 2/4
BQ-348-WX;VLC018RE04;18/03/2003;DOM;Biens remis aux Domaines;288746,00;RENAULT CLIO 1,5 DCI
BQ-379-WX;VUA026RE05;08/03/2005;DOM;Biens remis aux Domaines;215295,00;RENAULT KANGOO 1,5 DCI
BQ-416-WX;VUE018RE05;23/06/2005;DOM;Biens remis aux Domaines;732918,00;RENAULT MASTER
BQ-457-WX;VUE023RE06;23/02/2006;PSVREF;Réforme PS Vannes;426100,00;RENAULT MASTER 120dci
BQ-471-VH;CAD039RE11;30/06/2011;CEILOUD;CEI Loudéac;250101,00;RENAULT PREMIUM LANDER 6X2 430 CH BENNE AMO
BQ-549-YM;VUA021RE04;13/10/2004;DOM;Biens remis aux Domaines;278090,00;RENAULT KANGOO 1,9D
BQ-563-YM;VUA022RE04;13/10/2004;DOM;Biens remis aux Domaines;279395,00;RENAULT KANGOO 1,9D
BQ-577-YM;VUD042RE04;12/08/2004;DOM;Biens remis aux Domaines;206695,00;RENAULT MASTER L2H2 2,5 DCI 120
BQ-590-YM;VUA023RE04;13/10/2004;DOM;Biens remis aux Domaines;223700,00;RENAULT KANGOO 1,9 D
BQ-603-YM;CAC012RE03;27/05/2003;PSVPOOL;Pool Relais PS Vannes;239883,00;RENAULT PREMIUM 270
BQ-616-YM;VUA025RE05;08/03/2005;DOM;Biens remis aux Domaines;224097,00;RENAULT KANGOO 1,5 DCI
BQ-629-YM;CAC007RE00;06/04/2000;DOM;Biens remis aux Domaines;252000,00;RENAULT PREMIUM 250
BQ-711-YM;CAB043RE93;03/12/1993;DOM;Biens remis aux Domaines;204730,00;RENAULT M150 HAYON
BQ-732-YM;VLC017RE04;01/04/2004;DOM;Biens remis aux Domaines;226182,00;RENAULT CLIO 1,5 DCI
BQ-754-YM;VUB005CI03;12/09/2003;DOM;Biens remis aux Domaines;205000,00;CITROEN JUMPY 1,9 D
